year,co2,ch4,n2o,other_wmghg,o3_tropospheric,o3_stratospheric,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
2168,2.0945985220613834,0.14054605302873907,0.29240874884443535,0.08487880263067993,0.044709080165775766,0.00703005181292095,0.012843011807184196,0.017284743577714635,-0.06812250588361891,-0.022136099900911713,-0.005335645700622957,-0.14651076124024198,0.0,-0.023175638596386217,2.4521940012034382,-0.023175638596386217,2.429018362607052
2169,2.091828401408569,0.14000736734091657,0.292586052992832,0.08427157852530871,0.044254350147586975,0.006958550105059719,0.012793787040639876,0.01707395402188885,-0.06795562201833968,-0.02146295700811097,-0.00544162832304333,-0.14651076124024198,0.0,-0.040394826139367485,2.448403072993066,-0.040394826139367485,2.4080082468536985
2170,2.089183079138947,0.13946564659661703,0.2927573362638326,0.08366980963155271,0.04379880885622877,0.006886920832677046,0.012744284932503028,0.016863164466063063,-0.06778873815306044,-0.02081617419784701,-0.005547610945463706,-0.14651076124024198,0.0,-0.05015998085094733,2.4447057661818086,-0.05015998085094733,2.394545785330861
2171,2.0866486829429007,0.13892142975292984,0.2929225354494607,0.08307403761969534,0.043342616726966085,0.006815189222599808,0.012694554732340711,0.016652374910237275,-0.06762185428778121,-0.020238319749941044,-0.005653593567884082,-0.14651076124024198,0.0,-0.052727281658968235,2.441046892511282,-0.052727281658968235,2.3883196108523137
2172,2.0842253210835926,0.13837525921291638,0.29308466093257224,0.08248341424406411,0.04288593832999328,0.0067433811518308176,0.012644646004610769,0.016441585354411488,-0.06745497042250197,-0.01958586418582234,-0.005759576190304455,-0.14651076124024198,0.0,-0.04245532009292092,2.4375730342751205,-0.04245532009292092,2.3951177141821995
2173,2.081927178253933,0.13782657554099437,0.29324070280099623,0.08189821474698468,0.042428606614158246,0.006671470353261684,0.012594507628434082,0.016230795798585697,-0.06728808655722274,-0.0189863110743746,-0.005865558812724832,-0.14651076124024198,0.0,-0.011331874847104791,2.4341673340527836,-0.011331874847104791,2.422835459205679
2174,2.07974034665892,0.1372753964701493,0.2933906979396093,0.08131846054135697,0.041970628195348136,0.006599457867173919,0.012544141224239948,0.016020006242759906,-0.06712120269194348,-0.018379500836374327,-0.005971541435145205,-0.14651076124024198,0.0,0.0068805056243188105,2.4308761289358523,0.0068805056243188105,2.437756634560171
2175,2.0776510360119884,0.13672169482440724,0.29353466881496065,0.08074420470640147,0.041511996457675865,0.006527342653286023,0.012493544308704592,0.01580921668693412,-0.06695431882666425,-0.017827342397879063,-0.006077524057565581,-0.14651076124024198,0.0,0.023015614651494702,2.427623757942007,0.023015614651494702,2.4506393725935016
2176,2.0756872416785503,0.13616546314879086,0.29367553886836106,0.08017497595775078,0.04105271388209911,0.0064551251017035596,0.01244271620059678,0.015598427131108334,-0.06678743496138502,-0.0172680026206871,-0.0061835066799859565,-0.14651076124024198,0.0,0.023730421494218987,2.4245024964666606,0.023730421494218987,2.4482329179608797
2177,2.0738491363899216,0.13560727383573704,0.29381030684964676,0.07961072918425897,0.04059294669278395,0.0063828313494997116,0.012391709204785033,0.015387637575282541,-0.06662055109610578,-0.016688888839500815,-0.00628948930240633,-0.14651076124024198,0.0,0.007474268199243623,2.42152288060366,0.007474268199243623,2.4289971488029036
2178,2.072108689055639,0.13504599095601738,0.2939420060834849,0.07905174781720638,0.04013236574934177,0.006310409642668867,0.012340419520755729,0.015176848019456754,-0.06645366723082653,-0.016080388883113608,-0.0063954719248267055,-0.14651076124024198,0.0,-0.015823903287804975,2.4186681875655616,-0.015823903287804975,2.4028442842777564
2179,2.0704801337041663,0.134482172052314,0.2940676886325139,0.07849770866848775,0.039671133141009104,0.00623788546810825,0.01228889809641594,0.014966058463630964,-0.06628678336554729,-0.015573725844599633,-0.006501454547247079,-0.14651076124024198,0.0,-0.029891443152978668,2.4158189532290097,-0.029891443152978668,2.385927510076031
2180,2.0689635554771253,0.1339158180895204,0.29418730157487627,0.0779485809410693,0.03920925052175783,0.006165259085888254,0.012237145019937043,0.014755268907805177,-0.06611989950026806,-0.014989648848128957,-0.006607437169667455,-0.14651076124024198,0.0,-0.045453232690596534,2.4131544328596726,-0.045453232690596534,2.3677012001690763
2181,2.067558903956723,0.13334691315528455,0.2943038429430279,0.07740426984090874,0.038746717891587935,0.006092530496008875,0.012185158837258098,0.014544479351979387,-0.06595301563498883,-0.014322500805888537,-0.006713419792087831,-0.14651076124024198,0.0,-0.054802629743291115,2.410683118999571,-0.054802629743291115,2.35588048925628
2182,2.0662663102726935,0.13277545778727645,0.2944143146898768,0.07686485526708908,0.038283533596527614,0.006019699438399734,0.012132939597511067,0.014333689796153602,-0.06578613176970957,-0.013813000098284824,-0.006819402414508204,-0.14651076124024198,0.0,-0.06301986439922284,2.4081615049227842,-0.06301986439922284,2.345141640523561
2183,2.0650719108143814,0.132201455380952,0.29451876879284095,0.07633010906930067,0.03781970011753461,0.005946766303166407,0.012080487610970614,0.01412290024032781,-0.06561924790443034,-0.01321155375928285,-0.00692538503692858,-0.14651076124024198,0.0,-0.06631710166377143,2.405825150388591,-0.06631710166377143,2.3395080487248197
2184,2.063989564164947,0.13162488744058265,0.29462012845811497,0.07579997250221782,0.03735521662762296,0.005873730960273693,0.012027801187508454,0.013912110684502025,-0.06545236403915111,-0.012624442298629149,-0.007031367659348956,-0.14651076124024198,0.0,-0.0625536913547698,2.4035844767883985,-0.0625536913547698,2.3410307854336287
2185,2.063019634469816,0.13104519959878572,0.29471545076597844,0.07527445381548666,0.036889919383584165,0.005800567662753964,0.011974829669374416,0.013701321128676235,-0.06528548017387188,-0.012129113348605523,-0.0071373502817693325,-0.14651076124024198,0.0,-0.048479605409483185,2.401358671449967,-0.048479605409483185,2.3528790660404835
