year,co2,ch4,n2o,other_wmghg,o3_trop,o3_strat,h2o_strat,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,aerosol,ch2_other_anthro,total
1857,0.14934167580311053,0.046755996282076606,0.009499533266612842,8.337169647792664e-08,0.017823052689545402,0.0007667884762732186,2.6131729726022858e-05,0.0,-0.02816846957647617,-0.22066776962722817,0.0018214565377424952,-0.054164087135784016,-0.06333685747884661,-0.10339342468509498,-0.2263769254172533,-0.0411933852819224,-0.08843817878777198
1858,0.15179984910667932,0.047680783995027384,0.009747798657809906,8.596577483554924e-08,0.018222505418751332,0.0008763296871693927,2.6648589690314546e-05,0.0,-0.02979060745843321,-0.23114887049478083,0.0018395699649415426,-0.055217713589835356,0.07099740669137605,-0.06962511165508493,-0.23763339063177233,-0.04184220380758587,0.07169166110902626
1859,0.1544411623579658,0.04867112906466022,0.010166421739353048,8.857626563121877e-08,0.018621958147957262,0.0009858708980655668,2.7202089385605286e-05,0.0,-0.030571398969517403,-0.2314800242000257,0.001891797685866211,-0.056271340043886675,0.1267783866125487,-0.04107355003674158,-0.23837197636461088,-0.04241745367914659,0.16343022617853334
1860,0.1573826845306699,0.04959933778140762,0.010649558281261556,9.120452621894756e-08,0.01902141087716319,0.001095412108961741,2.772086133453454e-05,0.0,-0.0322268773692825,-0.23737861937954732,0.0019538746015944743,-0.057324966497938,0.145989493938463,-0.019894164066022988,-0.24550864453734753,-0.042948546318732725,0.19791287593179768
1861,0.16032250716042395,0.05060908892163588,0.011199961040993583,9.385191826977586e-08,0.01942086360636912,0.0012049533198579148,2.82852070010839e-05,0.0,-0.031495158075769754,-0.2361740349756985,0.001997588029433769,-0.05837859295198935,0.08587212743864672,-0.024142536473128792,-0.24385626179691094,-0.04350915472544984,0.12730039380549907
1862,0.16280881469012573,0.05188013459656193,0.011726391566880927,1.0467617557094804e-07,0.019820316335575044,0.0013144945307540892,2.8995589084404638e-05,0.0,-0.031884469901741264,-0.23538350014521203,0.0020258806566143726,-0.05943221940604067,-0.8668953905064141,-0.04869562994360787,-0.24374543946189975,-0.04412734377077544,-0.7580849172146206
1863,0.165360896943334,0.05339377444145346,0.012190676946515036,1.073659058558964e-07,0.020219769064780974,0.001424035741650263,2.98415560292777e-05,0.0,-0.030010380785583452,-0.22052250654421546,0.0020936007989960734,-0.06048584586009201,-0.36068504471773516,-0.06309636288240028,-0.2282928669121058,-0.04460432146827021,-0.28513024349135707
1864,0.16791174604449832,0.055049123720706854,0.01263697327050949,1.1007884290954801e-07,0.020619221793986904,0.0015335769525464372,3.076672378116664e-05,0.0,-0.030453774565968855,-0.2252230804774569,0.0021616280503789446,-0.061539472314143334,0.030376188482505746,-0.07721595352954602,-0.23186753551397996,-0.04503495253710459,0.05298322296099863
1865,0.17047804050616,0.05662947587514821,0.01311535872617137,1.1281635488312162e-07,0.02101867452319283,0.0016431181634426115,3.164997595534029e-05,0.0,-0.03571492869603919,-0.2561621786063101,0.0022188442684172496,-0.06259309876819467,0.11740107112981438,-0.08858659732503507,-0.2653732938384967,-0.04551912203515457,0.13325140025272883
1866,0.17295953596853264,0.05829155694072664,0.013616851354087215,1.1557978293481739e-07,0.021418127252398764,0.0017526593743387854,3.257890607430099e-05,0.0,-0.03395745826640786,-0.2453541673405046,0.0022548995212778237,-0.063646725222246,0.14313209896358828,-0.09436563331999515,-0.25373141166673546,-0.046090154151967246,0.17873714876118105
1867,0.17555673506270428,0.060028610147393024,0.014109175955987324,1.265268846065499e-07,0.02181757998160469,0.0018622005852349595,3.354973780767864e-05,0.0,-0.03812929972553921,-0.26994791880823316,0.0023555122832169973,-0.06470035167629731,0.1515169702665447,-0.10314352042585342,-0.2803405226103794,-0.04638603911616555,0.16616805030897908
1868,0.17775208648332863,0.06158052419114149,0.014639524695113173,1.2934624819352985e-07,0.022217032710810616,0.0019717417961311336,3.441709604136043e-05,0.0,-0.04267740953667544,-0.2995459737764316,0.002396632553671695,-0.06575397813034865,0.15426105950746757,-0.0835572741077995,-0.3106360318419967,-0.04696393970630608,0.15834861554224566
1869,0.17944603726884986,0.0629514072996664,0.015146405785276724,1.321956204387263e-07,0.02261648544001655,0.0020812830070273077,3.518327684653077e-05,0.0,-0.040973279196998134,-0.28222418918511477,0.0024606332963913063,-0.06731862246798437,0.15516092047277433,-0.04782096503626254,-0.29384410081621426,-0.04793224785203025,0.20058983926302784
1870,0.1813062442915997,0.0640458105841348,0.015621152419448519,1.3507636193797554e-07,0.023015938169222476,0.002190824217923482,3.5794934240557104e-05,0.0,-0.0442579571394835,-0.30255358996964876,0.002524909145016988,-0.06920601933088594,0.15545679134098195,-0.04504078015220066,-0.31503551376369454,-0.04924719238486133,0.1861590129155593
1871,0.18331577977944277,0.06478363801983712,0.016166315659278944,1.4614619783461554e-07,0.023415390898428402,0.002300365428819656,3.620730289201088e-05,0.0,-0.04219085563481828,-0.2842043727650615,0.0025834119040740546,-0.0710934161937875,0.1555533007638693,-0.0234865377926198,-0.2956417687543238,-0.05060161727813243,0.2198358248367961
1872,0.185841155709616,0.06536973283066741,0.016687995349938384,1.4909374882417008e-07,0.023814843627634332,0.0024099066397158296,3.653486881741739e-05,0.0,-0.04172681999595915,-0.2731232353101067,0.0026951384573869167,-0.07298081305668906,0.15093324738526143,-0.03485718158810884,-0.2853707350015899,-0.05182914095764874,0.22140932836730498
1873,0.18879834659411676,0.06581081531312988,0.017200837459659106,1.5207674004940804e-07,0.024214296356840262,0.002519447850612004,3.678138796223585e-05,0.0,-0.04763822952359855,-0.3073343762651942,0.002765559335236318,-0.07486820991959064,-0.04686733575626504,-0.05419352364692123,-0.32098545974418463,-0.05318618000446603,-0.052558121967330826
1874,0.19183710572172621,0.06659131935823155,0.017695471214114352,1.6325290745839374e-07,0.024613749086046192,0.0026289890615081783,3.721760839123957e-05,0.0,-0.050114073896648736,-0.3235731911146837,0.0027401183132878676,-0.07675560678249219,0.0848232226753579,-0.07096834704850807,-0.3386431543625827,-0.05482713349425784,0.07477350246426732
1875,0.19535648708471892,0.06736956962435875,0.018198604561302976,1.663108609378602e-07,0.02501320181525212,0.0027385302724043516,3.765256919265099e-05,0.0,-0.047630104895169265,-0.3028143416059903,0.002793793007201584,-0.07864300364539376,0.09563871601783419,-0.10220637945369775,-0.3176208959714119,-0.056202450150350865,0.09559925310776483
1876,0.19885693147256955,0.06802462731566272,0.018646212596732194,1.7756471178927898e-07,0.025412654544458048,0.002848071483300526,3.80186781819844e-05,0.0,-0.05064480246617053,-0.31651756357247735,0.0028092445754445395,-0.08053040050829534,0.10473627014891493,-0.11651339829527461,-0.3331620519708149,-0.057753838502092286,0.08827898018021837
1877,0.20240492798909623,0.06874060744191797,0.01903224215107566,1.8070306990286964e-07,0.025812107273663978,0.0029576126941967006,3.84188364640501e-05,0.0,-0.052105486922073785,-0.3254596427065921,0.002855610378015264,-0.08239630334669462,0.13744661972128758,-0.1256661417899952,-0.34203286275365574,-0.05918640479925113,0.12112065926715329
1878,0.2060999038530799,0.06956906839597501,0.01944420475923801,1.9204003577592555e-07,0.0262115600028699,0.0030671539050928743,3.888185980782346e-05,0.0,-0.0534714413121304,-0.3339262413079338,0.0028729320952836745,-0.08406165450192819,0.14960681948314974,-0.13700554755307903,-0.3506224976813924,-0.060461433519195876,0.12675939989981047
