Name,CASRN,Acronym,Formula,Molar mass,Lifetime (yr),RE (W m-2 ppb-1),AGWP 20-yr,GWP 20-yr,AGWP 100-yr,GWP 100-yr,AGWP 500-yr,GWP 500-yr,AGTP 20-yr,GTP 20-yr,AGTP 50-yr,GTP 50-yr,AGTP 100-yr,GTP 100-yr,Column1
3-Fluoro-1-propene,818-92-8,Allyl fluoride,CH2=CHCH2F,,,0.05947,,,,,,,,,,,,,
1-Fluorohexane,373-14-8,,n-C6H13F,,,0.04136,,,,,,,,,,,,,
Fluorobenzene,462-06-6,,C6H5-F,,,0.06501,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Chlorocarbons and Hydrochlorocarbons,,,,,,,,,,,,,,,,,,,
1:1:1-Trichloroethane,71-55-6,Methyl chloroform,CH3CCl3,0.1334,5,0.06454,1.33965E-11,585,1.36464E-11,169,1.36464E-11,51,1.02803E-13,190,1.70399E-14,37,1.36807E-14,33,
Tetrachloromethane,56-23-5,Carbon tetrachloride,CCl4,0.15381,32,0.16616,9.06339E-11,3958,1.86453E-10,2312,1.95021E-10,724,2.04335E-12,3775,9.61009E-13,2108,3.64951E-13,880,
Chloromethane,74-87-3,Methyl chloride,CH3Cl,0.05049,0.9,0.00466,4.6816E-13,20,4.6816E-13,6,4.6816E-13,2,1.21499E-15,2,5.6461E-16,1,4.61578E-16,1,
Dichloromethane,75-09-2,Methylene chloride,CH2Cl2,0.08493,0.4932,0.02882,9.43951E-13,41,9.43951E-13,12,9.43951E-13,4,2.3161E-15,4,1.13647E-15,2,9.29156E-16,2,
Trichloromethane,67-66-3,Chloroform,CHCl3,0.11937,0.5014,0.07357,1.74311E-12,76,1.74311E-12,22,1.74311E-12,6,4.28139E-15,8,2.0987E-15,5,1.71585E-15,4,
Chloroethane,75-00-3,,CH3CH2Cl,0.06452,0.1315,0.00354,4.07005E-14,2,4.07005E-14,1,4.07005E-14,0,9.57171E-17,0,4.89276E-17,0,4.00044E-17,0,
1:1-Dichloroethane,75-34-3,,CH3CHCl2,,,0.02846,,,,,,,,,,,,,
1:2-Dichloroethane,107-06-2,,CH2ClCH2Cl,0.09896,0.2247,0.00859,1.10041E-13,5,1.10041E-13,1,1.10041E-13,0,2.61481E-16,0,1.32336E-16,0,1.082E-16,0,
1:1:2-Trichloroethane,79-00-5,,CH2ClCHCl2,,,0.04955,,,,,,,,,,,,,
1:1:1:2-Tetrachloroethane,630-20-6,,CH2ClCCl3,,,0.1028,,,,,,,,,,,,,
1:1:2:2-Tetrachloroethane,79-34-5,,CHCl2CHCl2,,,0.09563,,,,,,,,,,,,,
1:1:2-Trichloroethene,79-01-6,,CHCl=CCl2,0.13138,0.0153,0.00566,3.72666E-15,0,3.72666E-15,0,3.72666E-15,0,8.65619E-18,0,4.4778E-18,0,3.66121E-18,0,
1:1:2:2-Tetrachloroethene,127-18-4,,CCl2=CCl2,0.16582,0.3014,0.05234,5.36651E-13,23,5.36651E-13,7,5.36651E-13,2,1.28647E-15,2,6.45586E-16,1,5.27833E-16,1,
2-Chloropropane,75-29-6,,CH3CHClCH3,0.07855,0.0603,0.00353,1.52628E-14,1,1.52628E-14,0,1.52628E-14,0,3.562E-17,0,1.83425E-17,0,1.49974E-17,0,
Chloromethyl benzene,100-44-7,,C6H5-CH2Cl,,,0.02394,,,,,,,,,,,,,
3-Chloro-1-propene,107-5-1,,CH2=CHCH2Cl,,,0.04617,,,,,,,,,,,,,
1-Chloro-4-methylbenzene,106-43-4,,p-Cl-C6H4-CH3,,,0.04975,,,,,,,,,,,,,
3:4-Dichloro-1-butene,760-23-6,,CH2ClCHClCH=CH2,,,0.05503,,,,,,,,,,,,,
1-Chloro-3-methylbenzene,108-41-8,m-Chlorotoulene,m-Cl-C6H4-CH3,,,0.05356,,,,,,,,,,,,,
2:3-Dichloropropene,78-88-6,,CH2ClCCl=CH2,,,0.05224,,,,,,,,,,,,,
