# Name,CASRN,Acronym,Formula,Lifetime,Radiative_efficiency,AGWP20,GWP20,AGWP100,GWP100,AGWP500,GWP500,AGTP50,GTP50,AGTP100,GTP100,CGTP50,CGTP100
1:1:1:2:3:3:3-Heptafluoropropa,             431-89-0,            HFC-227ea,                      CF3CHFCF3, 36.000, 0.273, 1.42260e-10, 5845.588, 3.22303e-10, 3602.558, 3.45369e-10, 1100.600, 1.45230e-12, 3395.577, 5.88096e-13, 1490.370,   nan,   nan
 1:1:1:2:2:3-Hexafluoropropane,             677-56-5,            HFC-236cb,                     CH2FCF2CF3, 13.400, 0.231, 9.11846e-11, 3746.863, 1.21119e-10, 1353.817, 1.21340e-10, 386.680, 2.64993e-13, 619.572, 1.05787e-13, 268.088, 130869.951, 161076.418
 1:1:1:2:3:3-Hexafluoropropane,             431-63-0,            HFC-236ea,                     CHF2CHFCF3, 11.400, 0.300, 1.07665e-10, 4424.055, 1.34050e-10, 1498.344, 1.34203e-10, 427.670, 2.44593e-13, 571.874, 1.13536e-13, 287.726, 147413.775, 178853.883
 1:1:1:3:3:3-Hexafluoropropane,             690-39-1,            HFC-236fa,                      CF3CH2CF3, 213.000, 0.251, 1.81322e-10, 7450.712, 7.77433e-10, 8689.783, 1.89667e-09, 6044.193, 3.93280e-12, 9195.151, 3.50195e-12, 8874.741,   nan,   nan
  1:1:2:2:3-Pentafluoropropane,             679-86-7,            HFC-245ca,                    CH2FCF2CHF2, 6.600, 0.240, 6.52631e-11, 2681.725, 7.04528e-11, 787.489, 7.04891e-11, 224.630, 8.36179e-14, 195.504, 5.75968e-14, 145.963, 79572.404, 94713.566
  1:1:1:2:2-Pentafluoropropane,            1814-88-6,            HFC-245cb,                      CF3CF2CH3, 39.900, 0.251, 1.69586e-10, 6968.456, 4.06710e-10, 4546.020, 4.45252e-10, 1418.901, 1.88635e-12, 4410.409, 8.16750e-13, 2069.832,   nan,   nan
  1:1:2:3:3-Pentafluoropropane,           24270-66-4,            HFC-245ea,                    CHF2CHFCHF2, 3.200, 0.160, 2.22034e-11, 912.360, 2.27761e-11, 254.581, 2.27822e-11, 72.601, 2.45716e-14, 57.450, 1.83347e-14, 46.464, 25953.609, 30777.189
  1:1:1:2:3-Pentafluoropropane,             431-31-2,            HFC-245eb,                     CH2FCHFCF3, 3.200, 0.204, 2.83093e-11, 1163.258, 2.90395e-11, 324.590, 2.90473e-11, 92.566, 3.13288e-14, 73.249, 2.33767e-14, 59.242, 33090.851, 39240.916
  1:1:1:3:3-Pentafluoropropane,             460-73-1,            HFC-245fa,                     CHF2CH2CF3, 7.900, 0.245, 7.70489e-11, 3166.016, 8.60731e-11, 962.085, 8.61272e-11, 274.465, 1.12125e-13, 262.155, 7.08432e-14, 179.533, 96727.611, 115480.409
        1:1:1-Trifluoropropane,             421-07-8,            HFC-263fb,                      CH3CH2CF3, 1.100, 0.100, 6.54907e-12, 269.108, 6.68884e-12, 74.765, 6.68973e-12, 21.318, 7.07296e-15, 16.537, 5.33747e-15, 13.526, 7657.274, 9066.744
           2:2-Difluoropropane,             420-45-1,            HFC-272ca,                      CH3CF2CH3, 9.000, 0.080, 4.64405e-11, 1908.285, 5.35885e-11, 598.988, 5.36284e-11, 170.900, 7.71185e-14, 180.308, 4.44047e-14, 112.532, 59893.831, 71773.770
1:1:1:2:2:3:3:4:4-Nonafluorobu,            375-17-7 ,             HFC-329p,                  CHF2CF2CF2CF3, 32.000, 0.313, 1.22011e-10, 5013.562, 2.58543e-10, 2889.870, 2.71599e-10, 865.516, 1.11777e-12, 2613.426, 4.20768e-13, 1066.323,   nan,   nan
   1:1:1:3:3-Pentafluorobutane,             406-58-6,           HFC-365mfc,                   CH3CF2CH2CF3, 8.900, 0.228, 7.10505e-11, 2919.534, 8.17377e-11, 913.627, 8.17975e-11, 260.667, 1.16507e-13, 272.402, 6.76843e-14, 171.527, 91405.064, 109492.561
1:1:1:2:2:3:4:5:5:5-Decafluoro,          138495-42-8,         HFC-43-10mee,                CF3CHFCHFCF2CF3, 17.000, 0.357, 9.63234e-11, 3958.023, 1.43141e-10, 1599.968, 1.43800e-10, 458.252, 4.03379e-13, 943.127, 1.36861e-13, 346.838, 148883.816, 189233.811
             trifluoroethylene,             359-11-5,             HFO-1123,                        CHF=CF2, 0.004, 0.002, 4.14123e-16, 0.017, 4.22468e-16, 0.005, 4.22570e-16, 0.001, 4.42225e-19, 0.001, 3.35752e-19, 0.001, 0.485, 0.574
            1:1-Difluoroethene,              75-38-7,            HFO-1132a,                        CH2=CF2, 0.013, 0.004, 4.59879e-15, 0.189, 4.69160e-15, 0.052, 4.69257e-15, 0.015, 4.91206e-18, 0.011, 3.72847e-18, 0.009, 5.386, 6.373
                  Fluoroethene,              75-02-5,             HFO-1141,                        CH2=CHF, 0.007, 0.002, 2.13116e-15, 0.088, 2.17413e-15, 0.024, 2.17462e-15, 0.007, 2.27597e-18, 0.005, 1.72785e-18, 0.004, 2.496, 2.953
(Z)-1:2:3:3:3-Pentafluoroprop-,            5528-43-8,        HFO-1225ye(Z),                  (Z)-CF3CF=CHF, 0.027, 0.025, 3.01846e-14, 1.240, 3.07951e-14, 0.344, 3.08001e-14, 0.098, 3.22525e-17, 0.075, 2.44723e-17, 0.062, 35.346, 41.822
(E)-1:2:3:3:3-Pentafluoroprop-,            5595-10-8,        HFO-1225ye(E),                  (E)-CF3CF=CHF, 0.016, 0.015, 1.03697e-14, 0.426, 1.05791e-14, 0.118, 1.05811e-14, 0.034, 1.10770e-17, 0.026, 8.40722e-18, 0.021, 12.144, 14.369
(Z)-1:3:3:3-Tetrafluoroprop-1-,           29118-25-0,        HFO-1234ze(Z),                  (Z)-CF3CH=CHF, 0.027, 0.020, 2.75888e-14, 1.134, 2.81468e-14, 0.315, 2.81514e-14, 0.090, 2.94789e-17, 0.069, 2.23677e-17, 0.057, 32.306, 38.225
(E)-1:3:3:3-Tetrafluoroprop-1-,           29188-24-9,        HFO-1234ze(E),                  (E)-CF3CH=CHF, 0.052, 0.045, 1.20199e-13, 4.939, 1.22636e-13, 1.371, 1.22651e-13, 0.391, 1.28488e-16, 0.300, 9.74580e-17, 0.247, 140.732, 166.520
 2:3:3:3-Tetrafluoroprop-1-ene,             754-12-1,           HFO-1234yf,                      CF3CF=CH2, 0.033, 0.026, 4.39679e-14, 1.807, 4.48578e-14, 0.501, 4.48645e-14, 0.143, 4.69853e-17, 0.110, 3.56475e-17, 0.090, 51.484, 60.917
(E)-1:1:1:4:4:4-Hexafluorobut-,                     ,       HFO-1336mzz(E),                (E)-CF3CH=CHCF3, 0.334, 0.132, 1.56540e-12, 64.324, 1.59760e-12, 17.857, 1.59775e-12, 5.092, 1.67815e-15, 3.924, 1.27091e-15, 3.221, 1831.940, 2168.029
(Z)-1:1:1:4:4:4-Hexafluorobut-,             692-49-9,       HFO-1336mzz(Z),                (Z)-CF3CH=CHCF3, 0.074, 0.069, 1.81904e-13, 7.475, 1.85598e-13, 2.075, 1.85618e-13, 0.592, 1.94502e-16, 0.455, 1.47501e-16, 0.374, 212.962, 251.989
     3:3:3-Trifluoroprop-1-ene,             677-21-4,           HFO-1243zf,                      CF3CH=CH2, 0.025, 0.015, 2.28856e-14, 0.940, 2.33483e-14, 0.261, 2.33522e-14, 0.074, 2.44521e-17, 0.057, 1.85545e-17, 0.047, 26.799, 31.710
3:3:4:4:4-Pentafluorobut-1-ene,             374-27-6,          HFC-1345zfc,                   CF3CF2CH=CH2, 0.025, 0.016, 1.59594e-14, 0.656, 1.62821e-14, 0.182, 1.62848e-14, 0.052, 1.70518e-17, 0.040, 1.29391e-17, 0.033, 18.689, 22.113
3:3:4:4:5:5:6:6:6-Nonafluorohe,           19430-93-4,                     ,                   n-C4F9CH=CH2, 0.025, 0.030, 1.78548e-14, 0.734, 1.82158e-14, 0.204, 1.82189e-14, 0.058, 1.90769e-17, 0.045, 1.44758e-17, 0.037, 20.908, 24.739
3:3:4:4:5:5:6:6:7:7:8:8:8-Trid,           25291-17-2,                     ,                  n-C6F13CH=CH2, 0.025, 0.034, 1.42173e-14, 0.584, 1.45048e-14, 0.162, 1.45072e-14, 0.046, 1.51905e-17, 0.036, 1.15267e-17, 0.029, 16.649, 19.699
3:3:4:4:5:5:6:6:7:7:8:8:9:9:10,           21652-58-4,                     ,                  n-C8F17CH=CH2, 0.025, 0.038, 1.23597e-14, 0.508, 1.26096e-14, 0.141, 1.26117e-14, 0.040, 1.32057e-17, 0.031, 1.00206e-17, 0.025, 14.473, 17.125
1-Propene: 3:3:3-trifluoro-2-(,             382-10-5,                     ,                    (CF3)2C=CH2, 0.028, 0.033, 3.30491e-14, 1.358, 3.37176e-14, 0.377, 3.37230e-14, 0.107, 3.53139e-17, 0.083, 2.67947e-17, 0.068, 38.700, 45.790
1:1:2:2:3:3-hexafluorocyclopen,          123768-18-3,                     ,        cyc (-CF2CF2CF2CH2CH2-), 1.600, 0.200, 1.04868e-11, 430.911, 1.07162e-11, 119.781, 1.07180e-11, 34.155, 1.13825e-14, 26.613, 8.56874e-15, 21.715, 12254.524, 14515.212
1:1:2:2:3:3:4-heptafluorocyclo,           15290-77-4,                     ,        cyc (-CF2CF2CF2CHFCH2-), 2.800, 0.243, 2.02067e-11, 830.312, 2.06941e-11, 231.309, 2.06990e-11, 65.962, 2.22328e-14, 51.982, 1.66303e-14, 42.145, 23602.255, 27980.437
1:3:3:4:4:5:5-heptafluorocyclo,            1892-03-1,                     ,         cyc (-CF2CF2CF2CF=CH-), 0.610, 0.215, 3.94834e-12, 162.241, 4.03064e-12, 45.053, 4.03106e-12, 12.846, 4.24392e-15, 9.923, 3.20995e-15, 8.135, 4619.085, 5467.509
