yr	CERES	CESM2	CanESM5	EC-Earth3	ECHAM	GFDL	HadGEM3	IPSL	multimodel
2012.875	0.274812941	0.50169328	0.129948254	0.10438348	0.189823651	0.389802796	0.072770651	0.218441557	0.229551953
2012.958333	0.205629127	0.621446514	0.134172266	-0.020690773	0.170488987	0.337977695	0.022921678	0.103666108	0.195711782
2013.041667	0.189524371	0.608571223	0.120830134	0.051388866	0.090940472	0.330263207	0.004104725	0.036379568	0.177496885
2013.125	0.153248142	0.57328497	0.101831203	-0.098199749	0.106410813	0.325954586	0.040127612	-0.077447408	0.138851718
2013.208333	0.138060529	0.42131613	0.188814688	-0.232691843	0.112098045	0.2793563	-0.005343891	-0.104604785	0.094134949
2013.291667	0.044718868	0.29662141	0.269298288	-0.326795743	0.104052152	0.259996717	-0.102952042	-0.114217634	0.055143307
2013.375	-0.015114101	0.28775457	0.25287665	-0.369083733	0.086231285	0.393395162	-0.130098039	-0.165081489	0.050856344
2013.458333	-0.095390366	0.223041398	0.278359403	-0.317597704	-0.043624703	0.423969745	-0.211662127	-0.186959026	0.023646712
2013.541667	-0.011444153	0.311541021	0.171061193	-0.317247415	-0.081608279	0.330650994	-0.364141229	-0.169319301	-0.017009002
2013.625	-0.023738522	0.510959851	0.169781682	-0.380028388	-0.036566719	0.343135615	-0.321609543	-0.197259237	0.012630466
2013.708333	-0.056228304	0.397491459	0.081253126	-0.299059	0.046687693	0.184726387	-0.377834559	-0.27913878	-0.035124811
2013.791667	0.026903901	0.352666567	0.074432631	-0.343829405	0.106744227	0.140153941	-0.305132666	-0.268779772	-0.034820639
2013.875	0.061443181	0.333849438	-0.040601785	-0.297172391	0.201333461	0.179692923	-0.162702569	-0.265556044	-0.007308138
2013.958333	0.055895821	0.082062967	-0.074275215	-0.255704079	0.231634644	0.185993538	-0.104486983	-0.276670617	-0.030206535
2014.041667	-0.030943365	0.020355445	-0.158533729	-0.284883143	0.265044872	0.207164169	-0.147446268	-0.346833142	-0.063590257
2014.125	0.027072675	0.033115397	-0.204451809	-0.209939516	0.180345277	0.127075837	-0.185682121	-0.241594918	-0.071590265
2014.208333	0.07777208	-0.032370296	-0.269597054	-0.19761858	0.115579339	0.029388451	-0.164818213	-0.227923126	-0.10676564
2014.291667	0.129246115	-0.181464356	-0.272534785	-0.204958681	0.18034043	0.068306688	-0.088334805	-0.143697149	-0.091763237
2014.375	0.149893086	-0.148379644	-0.218560048	-0.1526092	0.149424429	0.078378066	-0.071964346	-0.093564398	-0.06532502
2014.458333	0.124843265	-0.092112378	-0.256755673	-0.063480784	0.291011736	-0.05113793	-0.001317996	-0.072016022	-0.035115578
2014.541667	0.091993481	-0.182693219	-0.169168074	-0.023415041	0.359386528	0.031523542	0.096245959	-0.025527744	0.012335993
2014.625	0.162652709	-0.479224201	-0.100779609	0.051006931	0.290291486	-0.018784381	0.066066043	0.033343876	-0.022582836
2014.708333	0.17244833	-0.555742266	-0.088457934	0.005456197	0.263758811	0.109557641	0.123497398	0.085281723	-0.008092633
2014.791667	0.170260161	-0.591490287	0.000984717	-0.003152875	0.244840327	0.072830713	0.057525538	0.057394174	-0.02300967
2014.875	0.174183776	-0.447673538	0.172440264	0.095909434	0.159425515	0.037129935	0.030430091	0.059880487	0.01536317
2014.958333	0.234023479	-0.370257701	0.259298057	0.229436539	0.150919495	0.135977884	0.049588161	0.193150051	0.092587498
2015.041667	0.346463742	-0.272491304	0.373319664	0.302972304	0.01323507	0.18771372	0.121117381	0.356198666	0.154580786
2015.125	0.348535486	-0.298780131	0.479235218	0.47610464	-0.083433919	0.297429966	0.127988309	0.385579603	0.197731955
2015.208333	0.3831581	-0.200699963	0.58207897	0.638802213	-0.09778826	0.261031449	0.125611245	0.490235708	0.257038766
2015.291667	0.395917301	0.080600483	0.606920863	0.746618904	-0.249793104	0.309983805	0.08984339	0.57415887	0.308333316
2015.375	0.380075838	0.132998646	0.578719379	0.724002796	-0.224245209	0.244918788	0.040315898	0.736276803	0.318998157
2015.458333	0.401603943	0.265682474	0.584357155	0.543672028	-0.428957272	0.327801454	0.027647355	0.858543379	0.311249511
2015.541667	0.449941878	0.215072429	0.532708736	0.440484042	-0.54658079	0.314488783	0.013731265	0.818624679	0.255504163
2015.625	0.29132679	0.209859824	0.358724675	0.129085183	-0.504183082	0.318321878	0.075353058	0.724318561	0.1873543
2015.708333	0.226470996	0.271059305	0.217503884	0.07632047	-0.608068127	0.192884092	-0.056154428	0.639318972	0.104694881
2015.791667	0.157292852	0.185759292	0.11767806	0.036541008	-0.598055907	0.08557324	-0.037921015	0.600948011	0.055788955
2015.875	0.109078933	-0.006554448	0.028234064	-0.152765574	-0.665688905	-0.014767087	-0.026677865	0.509629316	-0.0469415
2015.958333	0.224986433	0.046492185	0.022215877	-0.34587604	-0.778337879	-0.160347274	-0.038623245	0.388943693	-0.123647526
2016.041667	0.215454001	-0.089660494	-0.04558941	-0.33517995	-0.660103501	-0.231338037	-0.050180886	0.186328968	-0.17510333
2016.125	0.18107667	-0.133727046	-0.11019488	-0.507967924	-0.548539361	-0.333032038	-0.075613994	0.095482094	-0.230513307
2016.208333	0.144078579	-0.186012076	-0.234764036	-0.53429461	-0.589273795	-0.281099207	-0.085956243	-0.032252542	-0.277664644
2016.291667	0.12364458	-0.310816303	-0.36984643	-0.620124432	-0.544326156	-0.383205706	-0.00187023	-0.239966896	-0.35287945
2016.375	0.19940444	-0.431420107	-0.329002839	-0.603835229	-0.468466313	-0.328728145	0.113081366	-0.321649369	-0.338574377
2016.458333	0.261320652	-0.474547153	-0.306277356	-0.439759343	-0.181146395	-0.294007967	0.234353025	-0.262131077	-0.246216609
2016.541667	0.355138945	-0.344368949	-0.257621108	-0.354935492	0.075170381	-0.270064979	0.348658483	-0.138939333	-0.134585857
2016.625	0.550903636	-0.231883824	-0.008050341	-0.156568194	0.096828333	-0.166455482	0.322759833	0.106029294	-0.00533434
2016.708333	0.625292875	-0.263690625	0.191934275	-0.18820621	0.124300675	-0.168662339	0.406049795	0.164119627	0.037977885
2016.791667	0.660794787	-0.054534838	0.274180375	-0.190632094	0.061805674	-0.002227362	0.364974866	0.273115323	0.103811706
2016.875	0.631456091	0.074737531	0.340788058	-0.059225822	0.13023873	0.160453696	0.327396954	0.466768296	0.205879635
2016.958333	0.55414669	0.110816324	0.350840187	0.060990915	0.232582103	0.211959571	0.292511166	0.543928533	0.257661257
2017.041667	0.558609419	0.084352592	0.310237199	0.023374461	0.149965285	0.228501393	0.236235364	0.632796798	0.237923299
2017.125	0.520073	0.008545433	0.190072963	0.114150542	0.06106446	0.261284832	0.23933461	0.628545316	0.214714022
2017.208333	0.450920191	-0.063801011	0.135446918	0.004658526	-0.068565097	0.250225731	0.242178069	0.608796988	0.158420018
2017.291667	0.393236085	-0.178314758	0.153979398	-0.062203836	-0.036343313	0.203212093	0.188168828	0.675252986	0.134821628
2017.375	0.326015856	-0.194294292	0.039394463	-0.062367024	-0.083122728	0.227254057	0.150951027	0.603554495	0.097338571
2017.458333	0.228444319	-0.237117387	0.056091739	-0.059692554	-0.147478112	0.246728909	0.124858184	0.48088195	0.066324676
