Name,CAS,Acronym,Formula,Lifetime (yr),Radiative efficiency (W m-2 ppb-1),AGWP20 (W m-2 yr kg-1),GWP20,AGWP100 (W m-2 yr kg-1),GWP100,AGWP500 (W m-2 yr kg-1),GWP500,AGTP50 (K kg-1),GTP50,AGTP100 (K kg-1),GTP100,CGTP50 (yr),CGTP100 (yr)
"1,1,1,2,2-pentafluoropropane","=""1814-88-6""",HFC-245cb,CF3CF2CH3,39.9,0.251,1.7e-10,6970.0,4.07e-10,4550.0,4.45e-10,1420.0,1.89e-12,4410.0,8.17e-13,2070.0,,
"1,1,2,3,3-pentafluoropropane","=""24270-66-4""",HFC-245ea,CHF2CHFCHF2,3.2,0.16,2.22e-11,912.0,2.28e-11,255.0,2.28e-11,72.6,2.46e-14,57.4,1.83e-14,46.5,26000.0,30800.0
"1,1,1,2,3-pentafluoropropane","=""431-31-2""",HFC-245eb,CH2FCHFCF3,3.2,0.204,2.83e-11,1160.0,2.9e-11,325.0,2.9e-11,92.6,3.13e-14,73.2,2.34e-14,59.2,33100.0,39200.0
"1,1,1,3,3-pentafluoropropane","=""460-73-1""",HFC-245fa,CHF2CH2CF3,7.9,0.245,7.7e-11,3170.0,8.61e-11,962.0,8.61e-11,274.0,1.12e-13,262.0,7.08e-14,180.0,96700.0,115000.0
"1,1,1-trifluoropropane","=""421-07-8""",HFC-263fb,CH3CH2CF3,1.1,0.1,6.55e-12,269.0,6.69e-12,74.8,6.69e-12,21.3,7.07e-15,16.5,5.34e-15,13.5,7660.0,9070.0
"2,2-difluoropropane","=""420-45-1""",HFC-272ca,CH3CF2CH3,9.0,0.08,4.64e-11,1910.0,5.36e-11,599.0,5.36e-11,171.0,7.71e-14,180.0,4.44e-14,113.0,59900.0,71800.0
"1,1,1,2,2,3,3,4,4-nonafluorobutane","=""375-17-7""",HFC-329p,CHF2CF2CF2CF3,32.0,0.313,1.22e-10,5010.0,2.59e-10,2890.0,2.72e-10,866.0,1.12e-12,2610.0,4.21e-13,1070.0,,
"1,1,1,3,3-pentafluorobutane","=""406-58-6""",HFC-365mfc,CH3CF2CH2CF3,8.9,0.228,7.11e-11,2920.0,8.17e-11,914.0,8.18e-11,261.0,1.17e-13,272.0,6.77e-14,172.0,91400.0,109000.0
"1,1,1,2,2,3,4,5,5,5-decafluoropentane","=""138495-42-8""",HFC-43-10mee,CF3CHFCHFCF2CF3,17.0,0.357,9.63e-11,3960.0,1.43e-10,1600.0,1.44e-10,458.0,4.03e-13,943.0,1.37e-13,347.0,149000.0,189000.0
Trifluoroethylene,"=""359-11-5""",HFO-1123,CHF=CF2,0.004,0.002,4.14e-16,0.017,4.22e-16,0.005,4.23e-16,0.001,4.42e-19,0.001,3.36e-19,0.001,0.485,0.574
